题目编号,题目标题,标准答案,有效作答人数,标准答案完整命中率,标准答案全部被选率,至少一个标准答案被选率,标准答案选项平均条件选择概率,至少一个非答案候选项被选率,非答案候选项平均条件选择概率,每名被试平均误选的非答案选项数,零选择候选项数量,零选择非答案候选项数量,分析口径,标准答案完整命中百分比,标准答案全部被选百分比,至少一个标准答案被选百分比,标准答案选项平均条件选择概百分比,至少一个非答案候选项被选百分比,非答案候选项平均条件选择概百分比
ITEM-00049,17,敌意,43,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.4186046511627907,0.5813953488372093,0.06739150871803934,0.5813953488372093,32,32,按实际呈现人数,41.86046511627907,41.86046511627907,41.86046511627907,41.86046511627907,58.139534883720934,6.739150871803934
ITEM-00050,92,怨恨｜敌意,20,0.25,0.55,0.9,0.725,0.45,0.06826241134751773,0.6,37,37,按实际呈现人数,25.0,55.00000000000001,90.0,72.5,45.0,6.826241134751773
ITEM-00051,93,悲伤,15,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.049999999999999996,0.5333333333333333,41,41,按实际呈现人数,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,53.333333333333336,5.0
ITEM-00052,94,委屈｜痛苦｜绝望,15,0.0,0.26666666666666666,0.8666666666666667,0.5555555555555555,0.6,0.10119047619047619,0.7333333333333333,35,35,按实际呈现人数,0.0,26.666666666666668,86.66666666666667,55.55555555555555,60.0,10.119047619047619
ITEM-00053,95,委屈｜悲伤｜绝望,15,0.06666666666666667,0.06666666666666667,0.9333333333333333,0.5777777777777777,0.7333333333333333,0.13850174216027872,1.0,29,29,按实际呈现人数,6.666666666666667,6.666666666666667,93.33333333333333,57.77777777777777,73.33333333333333,13.850174216027872
ITEM-00054,97,希望｜愉悦｜轻松,15,0.06666666666666667,0.2,0.8666666666666667,0.6,0.5333333333333333,0.15854700854700857,0.7333333333333333,30,30,按实际呈现人数,6.666666666666667,20.0,86.66666666666667,60.0,53.333333333333336,15.854700854700857
ITEM-00055,98,兴奋｜快乐｜愉悦｜轻松,18,0.05555555555555555,0.2222222222222222,0.9444444444444444,0.6527777777777778,0.5555555555555556,0.12037037037037036,0.7222222222222222,34,34,按实际呈现人数,5.555555555555555,22.22222222222222,94.44444444444444,65.27777777777779,55.55555555555556,12.037037037037036
ITEM-00056,101,担忧,11,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.7272727272727273,0.0635658914728682,0.7272727272727273,37,37,按实际呈现人数,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,72.72727272727273,6.356589147286821
ITEM-00057,23,惊喜,33,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.045384604058073444,0.36363636363636365,39,39,按实际呈现人数,63.63636363636363,63.63636363636363,63.63636363636363,63.63636363636363,36.36363636363637,4.538460405807345
ITEM-00058,102,愉悦｜感动,22,0.045454545454545456,0.13636363636363635,0.5454545454545454,0.34090909090909094,0.9090909090909091,0.15793650793650796,1.4545454545454546,31,31,按实际呈现人数,4.545454545454546,13.636363636363635,54.54545454545454,34.09090909090909,90.9090909090909,15.793650793650796
ITEM-00059,15,羞耻,12,0.75,0.75,0.75,0.75,0.25,0.03953488372093023,0.25,40,40,按实际呈现人数,75.0,75.0,75.0,75.0,25.0,3.953488372093023
