题目编号,题目标题,标准答案,有效作答人数,标准答案完整命中率,标准答案全部被选率,至少一个标准答案被选率,标准答案选项平均条件选择概率,至少一个非答案候选项被选率,非答案候选项平均条件选择概率,每名被试平均误选的非答案选项数,零选择候选项数量,零选择非答案候选项数量,分析口径,标准答案完整命中百分比,标准答案全部被选百分比,至少一个标准答案被选百分比,标准答案选项平均条件选择概百分比,至少一个非答案候选项被选百分比,非答案候选项平均条件选择概百分比
ITEM-00105,2,内疚｜焦虑｜紧张,41,0.04878048780487805,0.14634146341463414,0.8780487804878049,0.5040650406504065,0.5853658536585366,0.12401446071658838,0.8536585365853658,26,26,按实际呈现人数,4.878048780487805,14.634146341463413,87.8048780487805,50.40650406504065,58.536585365853654,12.401446071658837
ITEM-00106,77,快乐,31,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.5161290322580645,0.05196793002915452,0.5161290322580645,41,41,按实际呈现人数,48.38709677419355,48.38709677419355,48.38709677419355,48.38709677419355,51.61290322580645,5.196793002915452
ITEM-00107,81,快乐｜感动｜满足,25,0.04,0.12,0.84,0.48000000000000004,0.64,0.13900709219858157,1.0,32,32,按实际呈现人数,4.0,12.0,84.0,48.00000000000001,64.0,13.900709219858157
ITEM-00108,59,抑郁｜痛苦,35,0.08571428571428572,0.2857142857142857,0.6285714285714286,0.45714285714285713,0.8285714285714286,0.18376397907647904,1.5142857142857142,22,22,按实际呈现人数,8.571428571428571,28.57142857142857,62.857142857142854,45.714285714285715,82.85714285714286,18.376397907647902
ITEM-00109,88,厌倦｜困惑,49,0.061224489795918366,0.20408163265306123,0.6938775510204082,0.44897959183673464,0.8367346938775511,0.1522400631775632,1.183673469387755,18,18,按实际呈现人数,6.122448979591836,20.408163265306122,69.38775510204081,44.897959183673464,83.6734693877551,15.22400631775632
ITEM-00110,59,抑郁｜痛苦,32,0.0,0.28125,0.78125,0.53125,0.9375,0.17093253968253966,1.34375,25,25,按实际呈现人数,0.0,28.125,78.125,53.125,93.75,17.093253968253965
ITEM-00111,31,无奈,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.041666666666666664,0.4166666666666667,41,41,按实际呈现人数,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,41.66666666666667,4.166666666666666
ITEM-00112,35,烦躁,7,0.0,0.0,0.0,0.0,1.0,0.09429824561403508,1.0,33,32,按实际呈现人数,0.0,0.0,0.0,0.0,100.0,9.429824561403507
ITEM-00113,36,共情痛苦,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.08108108108108109,0.8571428571428571,33,33,按实际呈现人数,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,85.71428571428571,8.108108108108109
ITEM-00114,38,遗憾,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.8888888888888888,0.0873015873015873,0.8888888888888888,37,37,按实际呈现人数,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,88.88888888888889,8.73015873015873
ITEM-00115,39,震惊,10,0.8,0.8,0.8,0.8,0.2,0.046511627906976744,0.2,41,41,按实际呈现人数,80.0,80.0,80.0,80.0,20.0,4.651162790697675
ITEM-00116,46,悲伤,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4166666666666667,0.06296296296296296,0.4166666666666667,41,41,按实际呈现人数,58.333333333333336,58.333333333333336,58.333333333333336,58.333333333333336,41.66666666666667,6.296296296296296
ITEM-00117,47,焦虑,10,0.2,0.2,0.2,0.2,0.8,0.08333333333333331,0.8,35,35,按实际呈现人数,20.0,20.0,20.0,20.0,80.0,8.333333333333332
ITEM-00118,48,困惑,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.06162790697674418,0.6363636363636364,37,37,按实际呈现人数,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,63.63636363636363,6.162790697674418
ITEM-00119,49,厌倦,8,0.25,0.25,0.25,0.25,0.75,0.08739837398373983,0.75,35,35,按实际呈现人数,25.0,25.0,25.0,25.0,75.0,8.739837398373982
ITEM-00120,105,紧张,8,0.125,0.125,0.125,0.125,0.875,0.10526315789473684,0.875,31,31,按实际呈现人数,12.5,12.5,12.5,12.5,87.5,10.526315789473683
ITEM-00121,106,惊讶,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.03333333333333333,0.2857142857142857,42,42,按实际呈现人数,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857,3.3333333333333335
ITEM-00122,5,羡慕,11,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.059259259259259255,0.6363636363636364,40,40,按实际呈现人数,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,63.63636363636363,5.925925925925926
ITEM-00123,8,绝望,41,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.36585365853658536,0.03889206032063175,0.36585365853658536,42,42,按实际呈现人数,63.41463414634146,63.41463414634146,63.41463414634146,63.41463414634146,36.58536585365854,3.889206032063175
ITEM-00124,22,释然,39,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.030792620078334363,0.3333333333333333,40,40,按实际呈现人数,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,3.0792620078334365
ITEM-00125,85,不屑｜愉悦｜感激,26,0.15384615384615385,0.23076923076923078,1.0,0.641025641025641,0.7307692307692307,0.18568134763786937,1.1538461538461537,27,27,按实际呈现人数,15.384615384615385,23.076923076923077,100.0,64.1025641025641,73.07692307692307,18.568134763786937
ITEM-00126,86,惊讶｜愉悦,17,0.0,0.11764705882352941,0.7647058823529411,0.4411764705882353,0.8235294117647058,0.17907801418439714,1.5294117647058822,28,28,按实际呈现人数,0.0,11.76470588235294,76.47058823529412,44.11764705882353,82.35294117647058,17.907801418439714
ITEM-00127,87,同情｜蔑视｜震惊,20,0.05,0.05,0.9,0.45,0.8,0.15555555555555556,1.0,32,32,按实际呈现人数,5.0,5.0,90.0,45.0,80.0,15.555555555555555
ITEM-00128,100,兴奋｜期望,17,0.17647058823529413,0.35294117647058826,0.8823529411764706,0.6176470588235294,0.6470588235294118,0.11805555555555554,1.0588235294117647,33,33,按实际呈现人数,17.647058823529413,35.294117647058826,88.23529411764706,61.76470588235294,64.70588235294117,11.805555555555554
ITEM-00129,103,不屑｜敌意,21,0.19047619047619047,0.2857142857142857,0.7142857142857143,0.5,0.7142857142857143,0.11805555555555557,0.9523809523809523,36,36,按实际呈现人数,19.047619047619047,28.57142857142857,71.42857142857143,50.0,71.42857142857143,11.805555555555557
ITEM-00130,104,愤怒｜震惊,19,0.10526315789473684,0.21052631578947367,0.8947368421052632,0.5526315789473684,0.5789473684210527,0.07355072463768116,0.7368421052631579,37,37,按实际呈现人数,10.526315789473683,21.052631578947366,89.47368421052632,55.263157894736835,57.89473684210527,7.355072463768115
ITEM-00131,115,兴奋｜愉悦,14,0.07142857142857142,0.5,0.8571428571428571,0.6785714285714286,0.7142857142857143,0.1554263565891473,1.2142857142857142,30,30,按实际呈现人数,7.142857142857142,50.0,85.71428571428571,67.85714285714286,71.42857142857143,15.54263565891473
ITEM-00132,37,平静｜恭敬,14,0.14285714285714285,0.35714285714285715,1.0,0.6785714285714286,0.6428571428571429,0.17296296296296296,1.2142857142857142,31,31,按实际呈现人数,14.285714285714285,35.714285714285715,100.0,67.85714285714286,64.28571428571429,17.296296296296294
ITEM-00133,99,平静｜期待,11,0.09090909090909091,0.36363636363636365,0.5454545454545454,0.45454545454545453,0.9090909090909091,0.17325581395348835,1.4545454545454546,30,30,按实际呈现人数,9.090909090909092,36.36363636363637,54.54545454545454,45.45454545454545,90.9090909090909,17.325581395348834
ITEM-00134,67,不屑｜敌意,34,0.20588235294117646,0.6470588235294118,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.10735780423280424,0.8529411764705882,35,35,按实际呈现人数,20.588235294117645,64.70588235294117,88.23529411764706,76.47058823529412,70.58823529411765,10.735780423280424
ITEM-00135,68,不屑｜惊吓,39,0.05128205128205128,0.20512820512820512,0.8461538461538461,0.5256410256410257,0.9230769230769231,0.151566687280973,1.5384615384615385,31,31,按实际呈现人数,5.128205128205128,20.51282051282051,84.61538461538461,52.56410256410257,92.3076923076923,15.1566687280973
ITEM-00136,71,不屑｜委屈｜恐惧,21,0.047619047619047616,0.19047619047619047,0.9047619047619048,0.5873015873015873,0.6666666666666666,0.111231884057971,0.7619047619047619,35,35,按实际呈现人数,4.761904761904762,19.047619047619047,90.47619047619048,58.730158730158735,66.66666666666666,11.1231884057971
ITEM-00137,69,愤怒｜轻视,33,0.15151515151515152,0.5151515151515151,0.9393939393939394,0.7272727272727273,0.6666666666666666,0.11071428571428571,0.9393939393939394,34,34,按实际呈现人数,15.151515151515152,51.515151515151516,93.93939393939394,72.72727272727273,66.66666666666666,11.071428571428571
ITEM-00138,22,不屑｜可惜,37,0.0,0.05405405405405406,0.5135135135135135,0.28378378378378377,0.9459459459459459,0.16841593780369288,1.2972972972972974,24,24,按实际呈现人数,0.0,5.405405405405405,51.35135135135135,28.37837837837838,94.5945945945946,16.841593780369287
ITEM-00139,37,敬畏｜焦虑,64,0.03125,0.109375,0.703125,0.40625,0.65625,0.11122664183888674,0.890625,20,20,按实际呈现人数,3.125,10.9375,70.3125,40.625,65.625,11.122664183888674
ITEM-00140,63,兴奋｜惊喜,48,0.14583333333333334,0.4375,0.8958333333333334,0.6666666666666667,0.6666666666666666,0.09857127825877826,0.9583333333333334,31,31,按实际呈现人数,14.583333333333334,43.75,89.58333333333334,66.66666666666667,66.66666666666666,9.857127825877827
ITEM-00141,67,惊讶｜愤怒,48,0.08333333333333333,0.22916666666666666,0.875,0.5520833333333334,0.625,0.10734046046546046,0.9166666666666666,26,26,按实际呈现人数,8.333333333333332,22.916666666666664,87.5,55.208333333333336,62.5,10.734046046546046
ITEM-00142,68,敌意,33,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.6060606060606061,0.08163265306122448,0.6060606060606061,33,33,按实际呈现人数,39.39393939393939,39.39393939393939,39.39393939393939,39.39393939393939,60.60606060606061,8.16326530612245
ITEM-00143,71,不屑,37,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.7027027027027027,0.08717201166180757,0.7027027027027027,37,37,按实际呈现人数,29.72972972972973,29.72972972972973,29.72972972972973,29.72972972972973,70.27027027027027,8.717201166180757
ITEM-00144,118,失望,31,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.5483870967741935,0.06290087463556851,0.5483870967741935,37,37,按实际呈现人数,45.16129032258064,45.16129032258064,45.16129032258064,45.16129032258064,54.83870967741935,6.290087463556851
ITEM-00145,69,愤怒｜震惊,29,0.034482758620689655,0.20689655172413793,0.7931034482758621,0.5,0.7241379310344828,0.15965608465608463,1.103448275862069,27,27,按实际呈现人数,3.4482758620689653,20.689655172413794,79.3103448275862,50.0,72.41379310344827,15.965608465608463
ITEM-00146,118,失望｜烦躁,31,0.45161290322580644,0.6129032258064516,0.9032258064516129,0.7580645161290323,0.45161290322580644,0.10223214285714287,0.7741935483870968,32,32,按实际呈现人数,45.16129032258064,61.29032258064516,90.32258064516128,75.80645161290323,45.16129032258064,10.223214285714286
ITEM-00147,6,感动,4,0.75,0.75,0.75,0.75,0.25,0.037037037037037035,0.25,26,26,按实际呈现人数,75.0,75.0,75.0,75.0,25.0,3.7037037037037033
ITEM-00148,62,尴尬,12,0.75,0.75,0.75,0.75,0.25,0.03787878787878787,0.25,41,41,按实际呈现人数,75.0,75.0,75.0,75.0,25.0,3.787878787878787
ITEM-00149,60,担忧,33,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.06798671849692257,0.6363636363636364,35,35,按实际呈现人数,36.36363636363637,36.36363636363637,36.36363636363637,36.36363636363637,63.63636363636363,6.798671849692258
ITEM-00150,86,快乐｜满足,38,0.18421052631578946,0.23684210526315788,0.42105263157894735,0.32894736842105265,0.7368421052631579,0.16459310365560367,1.368421052631579,19,19,按实际呈现人数,18.421052631578945,23.684210526315788,42.10526315789473,32.89473684210527,73.68421052631578,16.459310365560366
