题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,严格完全识别率,平均部分标签得分,平均标签召回率,平均标签准确率,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均强度匹配得分,被试级平均强度,最大敏感性差值,统计预警项数,统计预警原因,统计初筛建议
判别参考,,,,,≥15,<0.25预警（多选须结合部分得分）,,,,,≥0.15,≥0.20,,,<0.10,越少越好,,统计初筛，须内容复核
ITEM-00042,61,视频,情绪识别,多选题,22.0,0.18181818181818182,0.5759818181818182,0.6136363636363636,0.6015151515151516,0.39848484848484844,-0.22329083797831029,-0.2,0.4602272727272727,3.7628787878787877,0.025042687747035552,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00076,78,音频,情绪识别,多选题,24.0,0.0,0.3696458333333334,0.3958333333333333,0.3951388888888889,0.6048611111111111,,0.0,0.3020833333333333,3.84375,0.014785833333333331,3,严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00069,117,文本,情绪识别,多选题,24.0,0.041666666666666664,0.6301583333333333,0.5694444444444443,0.798611111111111,0.20138888888888887,-0.18832561268909764,0.0,0.46875,4.180555555555555,0.05149907407407395,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00077,79,音频,情绪识别,多选题,26.0,0.11538461538461539,0.5668538461538463,0.6153846153846154,0.573076923076923,0.4269230769230769,0.1272782476224293,0.14285714285714285,0.5096153846153846,3.7384615384615385,0.018543956043956034,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00072,120,文本,情绪识别,多选题,26.0,0.038461538461538464,0.6071038461538462,0.5,0.8743589743589744,0.12564102564102567,-0.18107829218409172,-0.14285714285714285,0.4019230769230769,4.17948717948718,0.03146098901098904,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00081,58,视频,情绪识别,多选题,26.0,0.15384615384615385,0.6232653846153847,0.6730769230769231,0.6307692307692307,0.3692307692307693,-0.26021701007932874,-0.14285714285714285,0.4807692307692308,3.7961538461538464,0.023083903133903183,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00098,1,视频,情绪推理,多选题,28.0,0.03571428571428571,0.5436214285714287,0.49999999999999994,0.7232142857142857,0.2767857142857143,-0.1116273095281076,-0.14285714285714285,0.377975,3.930357142857143,0.052608525345622215,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00075,108,图像,情绪识别,多选题,29.0,0.10344827586206896,0.5886793103448277,0.6379310344827587,0.6172413793103447,0.38275862068965516,-0.29011568050835346,-0.2857142857142857,0.5043103448275862,4.007471264367816,0.019622643678161023,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,负相关复核：同时检查样本、维度、答案键与题意
ITEM-00110,59,文本,情绪推理,多选题,32.0,0.0,0.44494687499999996,0.53125,0.41354166666666664,0.5864583333333333,,0.0,0.43359375,3.982291666666667,5.551115123125783e-17,3,严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,修改后补测；结合选项分布与专家复核
ITEM-00100,10,视频,情绪推理,多选题,33.0,0.15151515151515152,0.5303090909090908,0.5909090909090909,0.5151515151515151,0.48484848484848486,0.11838063674131646,0.0,0.4962121212121212,3.8833333333333333,0.030303376623376566,3,严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,修改后补测；结合选项分布与专家复核
