答卷编号,提交时间,总作答时间（秒）,答卷综合得分率,作答题数,平均标签得分率,平均强度得分率,命中经验短时阈值,命中经验低分阈值,命中分布短时阈值,命中分布低分阈值,重点可疑,复核原因,纳入主分析
ZJ20260816EC8AC7E1,2026-08-16 12:23:00,985.29,65.55,24,71.78583333333333,56.319583333333334,False,False,False,False,False,未命中,True
ZJ20260816EDDB8BB1,2026-08-16 11:37:00,1069.24,55.64,24,57.65958333333333,50.867916666666666,False,False,False,False,False,未命中,True
ZJ20260816EE7728E6,2026-08-16 11:34:00,629.78,63.83,24,66.90458333333333,58.507083333333334,False,False,False,False,False,未命中,True
ZJ20260816F0E6F92D,2026-08-16 13:03:00,1220.03,55.34,24,61.071666666666665,48.524166666666666,False,False,False,False,False,未命中,True
ZJ20260816F17BC889,2026-08-16 11:35:00,878.06,54.02,24,56.04208333333333,47.22208333333333,False,False,False,False,False,未命中,True
ZJ20260816F498659C,2026-08-16 11:39:00,698.59,52.3,24,53.750416666666666,48.78458333333333,False,False,False,False,False,未命中,True
ZJ20260816F4ABF9AD,2026-08-16 12:31:00,528.0600000000001,37.77,24,41.73625,31.07625,False,False,False,False,False,未命中,True
ZJ20260816F9FDFC36,2026-08-16 10:45:00,372.01,37.08,24,44.04791666666667,27.395833333333332,True,False,False,False,False,仅短时：暂不删除,True
ZJ20260816FA3B9E24,2026-08-16 11:27:00,460.56,47.2,24,48.79,42.100833333333334,False,False,False,False,False,未命中,True
ZJ20260816FE8BA1E6,2026-08-16 12:50:00,1146.06,59.25,24,64.90458333333333,54.617916666666666,False,False,False,False,False,未命中,True
